Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Te Amarei Para Sempre,(2009),"Drama, Fantasy, Romance",107,7.1,63.41,135.427,47.0,min,M
Simplesmente Complicado,(2009),"Comedy, Drama, Romance",120,6.5,112.74,82.822,57.0,min,M
O Colecionador de Corpos,(I) (2009),"Horror, Thriller",90,6.4,7.71,54.550,29.0,min,M
Segurança de Shopping,(2009),"Action, Comedy, Crime",91,5.2,20.82,98.343,39.0,min,M
O Golpista do Ano,(2009),"Biography, Comedy, Crime",98,6.6,2.04,88.710,65.0,min,M
9: A Salvação,(I) (2009),"Animation, Action, Adventure",79,7.1,31.74,128.257,60.0,min,M
Vírus,(2009),"Drama, Horror, Sci-Fi",84,6.0,0.09,40.684,,min,M
A Caixa,(I) (2009),"Drama, Fantasy, Mystery",115,5.6,15.05,86.664,47.0,min,M
Jogando com Prazer,(2009),"Comedy, Drama, Romance",97,5.9,0.25,37.095,43.0,min,M
Fanboys,(2009),"Adventure, Comedy, Drama",90,6.6,0.69,54.967,45.0,min,M
Hannah Montana: O Filme,(2009),"Comedy, Drama, Family",102,4.4,79.57,37.860,47.0,min,M
A Menina que Brincava com Fogo,(2009),"Crime, Drama, Mystery",129,7.2,9.08,87.325,66.0,min,M
A Trilha,(2009),"Drama, Mystery, Thriller",98,6.5,15.48,65.201,63.0,min,M
Minhas Adoráveis Ex-Namoradas,(2009),"Comedy, Fantasy, Romance",100,5.8,55.25,79.633,34.0,min,M
Solomon Kane - O Caçador de Demônios,(2009),"Action, Adventure, Fantasy",104,6.1,,67.106,48.0,min,
Substitutos,(2009),"Action, Sci-Fi, Thriller",89,6.3,38.58,165.232,45.0,min,M
Mary e Max: Uma Amizade Diferente,(2009),"Animation, Comedy, Drama",92,8.1,,155.574,,min,
Terror na Antártida,(2009),"Action, Crime, Horror",101,5.5,10.28,36.272,,min,M
Circo dos Horrores: O Aprendiz de Vampiro,(2009),"Action, Adventure, Fantasy",109,5.9,14.05,41.737,43.0,min,M
Lutador de Rua,(2009),"Action, Crime, Drama",93,6.7,,30.038,,min,
Exame,(2009),"Mystery, Thriller",101,6.8,,98.344,,min,
Notorious B.I.G.: Nenhum Sonho é Grande Demais,(2009),"Biography, Crime, Drama",122,6.7,36.84,39.188,60.0,min,M
"Carros Usados, Vendedores Pirados!",(2009),Comedy,89,5.8,15.10,19.955,39.0,min,M
"Eu Te Amo, Beth Cooper",(2009),"Comedy, Romance",102,5.3,14.79,32.382,32.0,min,M
Perigosas,(2009),"Action, Comedy, Crime",109,4.4,0.02,13.187,19.0,min,M
Brüno,(2009),Comedy,81,5.8,60.05,136.507,54.0,min,M
O Guerreiro Silencioso,(2009),"Adventure, Drama, Fantasy",93,6.1,0.02,53.425,61.0,min,M
O Retrato de Dorian Gray,(2009),"Drama, Fantasy, Thriller",112,6.3,,58.779,,min,
Onde Vivem os Monstros,(2009),"Adventure, Drama, Family",101,6.7,77.23,97.816,71.0,min,M
Intermediário.com,(2009),"Comedy, Crime, Drama",105,6.8,0.72,35.650,60.0,min,M
You,(I) (2009),Drama,84,5.6,,105,,min,
A Fita Branca,(2009),"Drama, History, Mystery",144,7.8,2.22,64.654,82.0,min,M
A Casa do Diabo,(2009),Horror,95,6.4,0.10,38.116,73.0,min,M
Adrenalina 2,(2009),"Action, Thriller",96,6.2,13.63,134.965,41.0,min,M
Harry Brown,(2009),"Action, Crime, Drama",103,7.2,1.82,82.059,55.0,min,M
O Solista,(2009),"Biography, Drama, Music",117,6.7,31.67,49.708,61.0,min,M
Atraídos Pelo Crime,(2009),"Crime, Drama, Thriller",132,6.7,27.15,59.073,43.0,min,M
O Garoto de Liverpool,(2009),"Biography, Drama, Music",98,7.1,1.45,33.584,67.0,min,M
Além da Vida,(2009),"Drama, Mystery, Thriller",104,5.9,0.11,35.151,36.0,min,M
Rebelde com Causa,(2009),"Comedy, Drama, Romance",90,6.4,15.28,71.030,63.0,min,M
Recém-Chegada,(2009),"Comedy, Romance",97,5.6,16.73,20.865,29.0,min,M
A Era do Gelo 3,(2009),"Animation, Adventure, Comedy",94,6.9,196.57,211.511,50.0,min,M
Ninja Assassino,(2009),"Action, Thriller",99,6.3,38.11,65.894,34.0,min,M
