Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Le llamaban J.R.,(1982),Comedy,90,3.9,,27,,Francisco Lara Polop,":
Pepe Da Rosa, 
Mary Santpere, 
Antonio Garisa, 
María Salerno
",min,
Chao Zhou xiao han,(1982),"Action, Drama",90,6.7,,30,,Hsing-Lai Wang,":
Ming-Tsai Wu, 
Cheng-Wu Yang, 
Siu Tin Yuen, 
Juan Fava
",min,
Theerpu,(1982),Musical,,5.3,,7,,R. Krishnamurthy," Director:
R. Krishnamurthy
| 
    Star:
Shivaji Ganesan
",,
Deveni Gamana,(1982),Drama,99,6.3,,10,,H.D. Premaratne,":
Sanath Gunathilake, 
Denavaka Hamine, 
Sabitha Perara, 
Ravindra Randeniya
",min,
Klamczucha,(1982),"Drama, Family, Romance",98,6.8,,25,,Anna Sokolowska,":
Malgorzata Wachecka, 
Grzegorz Matysik, 
Marek Wójcicki, 
Ewa Borowik
",min,
Benki Chendu,(1982),,,,,,,Mani Murugan," Director:
Mani Murugan
| 
    Star:
Shankar Nag
",,
Farman,(1982),Action,,4.3,,15,,Koopal Meshkat,":
Saeed Rad, 
Mohammad Vali Ahmadloo, 
Jamshid Hashempur, 
Kan'an Kiani
",,
Mi katil meghr,(1982),"Comedy, Family",72,4.6,,21,,Henrik Malyan,":
Ashot Adamyan, 
L. Azizyan, 
V. Andreasyan, 
G. Babayan
",min,
"Apithanoi, alloiotikoi ki oraioi...",(1982),Comedy,92,,,,,Kostas Bakodimos,":
Nikos Galanos, 
Dimitris Ioakeimidis, 
Elena Nathanail, 
Rena Pagrati
",min,
Mezczyzna niepotrzebny!,(1982),Drama,97,4.6,,11,,Laco Adamik,":
Jolanta Buszko, 
Elzbieta Karkoszka, 
Jerzy Kryszak, 
Jan Bógdol
",min,
Uncensored Cartoons,(1982),Animation,73,,,,,Jerry Beck," Directors:
Jerry Beck, 
Robert Clampett, 
Friz Freleng, 
Hugh Harman, 
Chuck Jones, 
Rudy Zamora
",min,
Esabat Hamada Wa Toto,(1982),"Comedy, Crime",,5.3,,254,,Mohamed Abdelaziz,":
Adel Emam, 
Lebleba, 
Salah Nazmi, 
Fouad Khalil
",,
Oslinaya shkura,(1982),"Family, Comedy, Fantasy",85,6.9,,85,,Nadezhda Kosheverova,":
Vladimir Etush, 
Svetlana Nemolyaeva, 
Vera Novikova, 
Aleksandr Galibin
",min,
È forte un casino!,(1982),Comedy,100,5.4,,47,,Alessandro Metz,":
Bombolo, 
Enzo Cannavale, 
Licinia Lentini, 
Gianni Ciardo
",min,
La canción de los niños,(1982),"Comedy, Musical",97,,,,,Ismael González,":
Nita Cerezo, 
Antonio Gamero, 
Florinda Chico, 
Juan Miguel Manrique
",min,
Ramnagari,(1982),Drama,,6.0,,8,,Kantilal Rathod,":
Sulabha Deshpande, 
Suhasini Mulay, 
Ram Nagarkar, 
Amol Palekar
",,
Maruppacha,(1982),,,,,,,S. Babu,":
Mala Aravindan, 
Janardanan, 
Kanakadurga, 
Balan K. Nair
",,
Malikot,(1982),Drama,,,,,,Eddie Rodriguez,":
Alma Moreno, 
Christopher De Leon, 
Jay Ilagan, 
Vic Silayan
",,
Te marre pas... c'est pour rire!,(1982),Comedy,97,4.1,,41,,Jacques Besnard,":
Aldo Maccione, 
Michel Galabru, 
Marthe Mercadier, 
Jean-Pierre Darras
",min,
Thunai,(1982),Drama,,5.6,,9,,Durai,":
Shivaji Ganesan, 
Radha, 
V.K. Ramasamy, 
Saritha
",,
Kanije Kalesi,(1982),"Action, Adventure, History",83,5.8,,156,,Yilmaz Atadeniz,":
Cüneyt Arkin, 
Melike Zobu, 
Lütfü Seyfullah, 
Nevin Aypar
",min,
O Castelo das Taras,(1982),Horror,90,6.5,,13,,Julius Belvedere,":
Esmeralda Barros, 
Dorival Coutinho, 
Silvana Alves, 
Ely Silva
",min,
Daulat Ka Nasha,(1982),Action,,,,,,Datta Dharmadhikari,":
Simi Garewal, 
Shiv Kumar, 
Sohrab Modi, 
Rehana Sultan
",,
Ponnum Poovum,(1982),Drama,,8.0,,5,,A. Vincent,":
Sukumaran, 
Mammootty, 
Menaka, 
Nedumudi Venu
",,
Zokubutsu zukan,(1982),Comedy,89,,,,,Makoto Naitô,":
Junko Asahina, 
Itsumi Haruta, 
Masaaki Hiraoka, 
Takao Iida
",min,
