Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Haepi-endeu,(1999),"
Crime, Drama, Romance            ",99 min,6.9,,"1,341",,Ji-woo Jung,":
Min-sik Choi, 
Do-yeon Jeon, 
Jin-mo Ju, 
Mi-seon Hwang
"
O Vento nos Levará,(1999),"
Drama            ",118 min,7.6,$0.21M,"7,716",86        ,Abbas Kiarostami,":
Behzad Dorani, 
Noghre Asadi, 
Roushan Karam Elmi, 
Bahman Ghobadi
"
Perigo no Ártico,(1999),"
Drama            ",90 min,6.2,,283,,Robert Young,":
Bob Hoskins, 
Sadie Frost, 
Gemma Jones, 
Anna Massey
"
Busca Explosiva,(1999),"
Action, Comedy            ",85 min,2.5,$0.29M,"6,494",16        ,Kevin Alyn Elders,":
Dennis Rodman, 
Dane Cook, 
John Pinette, 
Ricky Harris
"
Kate's Addiction,(1999),"
Thriller            ",90 min,4.4,,585,,Eric DelaBarre,":
Kari Wuhrer, 
Farrah Forke, 
Matthew Porretta, 
Matt Borlenghi
"
Shiri - Missão Terrorista,(1999),"
Action, Thriller            ",125 min,6.6,$0.10M,"7,658",50        ,Je-kyu Kang,":
Suk-kyu Han, 
Min-sik Choi, 
Yunjin Kim, 
Kang-ho Song
"
O Poder Vai Dançar,(1999),"
Drama            ",132 min,6.8,$2.90M,"8,592",64        ,Tim Robbins,":
Hank Azaria, 
Rubén Blades, 
Joan Cusack, 
John Cusack
"
Música do Coração,(1999),"
Drama, Music            ",124 min,6.8,$14.86M,"11,510",54        ,Wes Craven,":
Meryl Streep, 
Cloris Leachman, 
Henry Dinhofer, 
Michael Angarano
"
O Filho de Jesus,(1999),"
Drama            ",107 min,6.9,$1.28M,"6,724",76        ,Alison Maclean,":
Billy Crudup, 
Robert Michael Kelly, 
Torben Brooks, 
Dierdre Lewis
"
Um Caso a Três,(1999),"
Comedy, Romance            ",98 min,6.0,$10.54M,"17,804",36        ,Damon Santostefano,":
Neve Campbell, 
Matthew Perry, 
Dylan McDermott, 
Oliver Platt
"
Padaiyappa,(1999),"
Action, Comedy, Drama            ",181 min,8.1,,"4,862",,K.S. Ravikumar,":
Shivaji Ganesan, 
Rajinikanth, 
Ramya Krishnan, 
Soundarya
"
A Cor do Paraíso,(1999),"
Drama, Family            ",90 min,8.2,$1.81M,"14,573",80        ,Majid Majidi,":
Hossein Mahjoub, 
Mohsen Ramezani, 
Salameh Feyzi, 
Farahnaz Safari
"
Por uma Boa Briga,(1999),"
Comedy, Drama, Sport            ",124 min,5.5,$8.43M,"11,211",32        ,Ron Shelton,":
Woody Harrelson, 
Antonio Banderas, 
Lolita Davidovich, 
Marie Park
"
A Musa,(1999),"
Comedy            ",97 min,5.7,$11.61M,"10,184",56        ,Albert Brooks,":
Albert Brooks, 
Sharon Stone, 
Andie MacDowell, 
Jeff Bridges
"
Darkness Falls,(1999),"
Drama, Thriller            ",90 min,5.7,,477,,Gerry Lively,":
Sherilyn Fenn, 
Ray Winstone, 
Tim Dutton, 
Anita Dobson
"
O Corruptor,(1999),"
Action, Crime, Drama            ",110 min,6.1,$15.16M,"16,938",56        ,James Foley,":
Yun-Fat Chow, 
Mark Wahlberg, 
Ric Young, 
Paul Ben-Victor
"
Aimée e Jaguar,(1999),"
Biography, Drama, Romance            ",125 min,7.2,$0.93M,"5,878",72        ,Max Färberböck,":
Maria Schrader, 
Juliane Köhler, 
Johanna Wokalek, 
Heike Makatsch
"
À Beira da Loucura,(1999),"
Comedy            ",110 min,4.6,$0.18M,"7,425",42        ,Alan Rudolph,":
Bruce Willis, 
Nick Nolte, 
Albert Finney, 
Barbara Hershey
"
Tyrone,(1999),"
Comedy            ",92 min,3.2,,205,,Erik Fleming,":
Ethan Suplee, 
Kevin Connolly, 
Coolio, 
Merle Kennedy
"
Verão Feliz,(1999),"
Drama, Comedy            ",122 min,7.8,$0.20M,"17,446",44        ,Takeshi Kitano,":
Takeshi Kitano, 
Yusuke Sekiguchi, 
Kayoko Kishimoto, 
The Great Gidayû
"
Herói de Folhetim,(1999),"
Comedy, Romance            ",96 min,6.5,,"1,953",,Antony J. Bowman,":
Claudia Karvan, 
Hugh Jackman, 
Angie Milliken, 
Andrew S. Gilbert
"
