Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Picasso - Arisco no Gatilho,(1988),"
Action, Adventure, Thriller            ",99 min,4.5,,987,
Não Amarás,(1988),"
Drama, Romance            ",87 min,8.2,,"17,487",
Parque do Barulho,(1988),"
Comedy            ",87 min,4.8,,256,
Essas Garotas,(1988),"
Comedy, Drama, Fantasy            ",94 min,5.8,$0.40M,"2,776",
Clube dos Pilantras 2,(1988),"
Comedy, Sport            ",98 min,3.8,$11.80M,"14,240",7        
Quando me Apaixono,(1988),"
Drama, Romance, Sport            ",127 min,6.2,$12.64M,"2,785",
O Urso,(1988),"
Adventure, Family, Drama            ",96 min,7.7,$31.75M,"15,682",
Imp - O Invasor do Espaço,(1988),"
Comedy, Horror            ",80 min,5.0,,"2,906",
A Cegonha Não Pode Esperar,(1988),"
Comedy, Drama, Romance            ",90 min,5.9,$17.51M,"4,044",41        
Criaturas 2,(1988),"
Comedy, Horror, Sci-Fi            ",86 min,5.5,$3.81M,"13,098",48        
A Farsa,(1988),"
Drama, Romance, Thriller            ",91 min,6.0,$15.86M,"3,114",
As Coisas Mudam,(1988),"
Comedy, Crime, Drama            ",100 min,7.0,$3.53M,"3,026",71        
Fantasma 2,(1988),"
Action, Fantasy, Horror            ",97 min,6.5,$7.28M,"12,439",42        
Motim na Espaçonave,(1988),"
Action, Adventure, Romance            ",91 min,2.1,,"6,388",
Um Policial Acima da Lei,(1988),"
Crime, Drama, Mystery            ",110 min,6.4,$1.88M,"4,099",
Ghost House: A Casa do Horror,(1988),"
Horror, Mystery, Thriller            ",95 min,4.9,,"1,951",
A Dama de Branco,(1988),"
Fantasy, Horror, Mystery            ",113 min,6.6,$1.71M,"5,881",70        
A Volta dos Tomates Assassinos,(1988),"
Comedy, Horror, Sci-Fi            ",98 min,5.2,,"6,395",
Satisfaction: No Amor e no Rock,(1988),"
Comedy, Music, Romance            ",92 min,4.9,$8.25M,"3,226",44        
Mudança do Barulho,(1988),"
Comedy            ",89 min,6.2,$10.82M,"4,845",36        
Escorpião Vermelho,(1988),"
Action, Adventure            ",105 min,5.2,$4.19M,"7,920",
Curvas Perigosas,(1988),"
Comedy            ",93 min,3.7,,365,
Morto ao Chegar,(1988),"
Mystery, Thriller            ",96 min,6.1,$12.71M,"9,111",
Slugs,(1988),"
Horror            ",92 min,5.2,,"3,843",
Contato Mortal,(1988),"
Action, Drama            ",93 min,3.8,,"6,223",
A Sétima Profecia,(1988),"
Drama, Fantasy, Horror            ",97 min,5.9,$18.88M,"12,464",
O Limite do Terror,(1988),"
Action, Horror, Sci-Fi            ",91 min,5.4,$0.94M,"3,774",
Sexo Casual?,(1988),"
Comedy            ",97 min,5.0,$12.28M,"3,590",
Camille Claudel,(1988),"
Biography, Drama, History            ",175 min,7.3,$0.20M,"5,824",
Unmasked Part 25,(1988),"
Comedy, Horror, Romance            ",90 min,5.8,,341,
Memórias Secretas,(1988),"
Drama, Romance, Sport            ",98 min,6.7,$7.47M,"3,938",
