Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Paraiso Perdido - O Caminho Para a Eternidade,(2012),"
Drama            ",104 min,6.1,,917,,Bobby Smyth,":
David A.R. White, 
Bruce Marchiano, 
Gary Daniels, 
Robert Miano
"
Bikram Singha: The Lion Is Back,(2012),"
Action            ",130 min,6.3,,43,,Rajib Biswas,":
Prasenjit Chatterjee, 
Richa Gangopadhyay, 
Supriyo Dutta, 
Anusmriti Sarkar
"
O Idioma do Desejo,(2011),"
Drama            ",109 min,5.3,,735,,Pascal Arnold,":
Lizzie Brocheré, 
Pierre Perrier, 
Karl E. Landler, 
Djédjé Apali
"
Role/Play,(2010),"
Drama, Romance            ",85 min,5.4,,955,,Rob Williams,":
Steve Callahan, 
Matthew Montgomery, 
David Pevsner, 
Brian Nolan
"
Maryada Ramanna,(2010),"
Action, Comedy            ",125 min,7.4,,"2,267",,S.S. Rajamouli,":
Suneel, 
Saloni Aswani, 
Nagineedu, 
Brahmaji
"
The Dark Side of Love,(2012),"
Drama            ",87 min,4.5,,73,,Jorge Ameer,":
Jorge Ameer, 
Ramon Estrada, 
Harsha First, 
Marcelle Lee
"
The Fitzgerald Family Christmas,(2012),"
Drama            ",99 min,6.2,$0.01M,"1,333",62        ,Edward Burns,":
Kerry Bishé, 
Edward Burns, 
Heather Burns, 
Marsha Dietlein
"
Makeup Man,(2011),"
Comedy            ",150 min,5.2,,238,,Shafi,":
Jagadish, 
Janardanan, 
Jayaram, 
Sheela Kaur
"
De Volta ao Terror,(II) (2012),"
Horror, Thriller            ",98 min,4.2,$0.00M,"4,564",,Michael A. Nickles,":
Christian Slater, 
Ambyr Childers, 
Toby Hemingway, 
Jonathan Keltz
"
Rascals,(2011),"
Action, Comedy, Crime            ",128 min,2.9,$0.26M,"2,418",,David Dhawan,":
Ajay Devgn, 
Sanjay Dutt, 
Kangana Ranaut, 
Lisa Haydon
"
See Girl Run,(2012),"
Drama, Romance            ",89 min,5.1,,"1,281",,Nate Meyer,":
Robin Tunney, 
Adam Scott, 
Jeremy Strong, 
William Sadler
"
The Penitent Man,(2010),"
Drama, Sci-Fi            ",92 min,7.1,,"1,180",,Nicholas Gyeney,":
Lance Henriksen, 
Lathrop Walker, 
Andrew Keegan, 
Melissa Roberts
"
